1 21 | 0.3057939689184495 -0.05338182542969806 -1.2177598708094428 0.7778586808040929 -0.4181866252352281 0.05391547762232601 0.15531246082954367 -0.03144080070800458 -0.27073591623492854 -0.21495858709255106 0.017919778901100112 0.10000743726980839 | 0.3052272221034902 -0.07015111408504777 -1.217919609735324 0.7772149029882887 -0.4186323605258285 0.07440554514360574 0.38667272502663685 -0.11644923316408459 -0.33397453545345446 -0.2714629148291374 0.2934598031460764 0.10384437259349931 | 287.77675190572296 | 155
1 22 | -0.6734548060378875 0.12232708938196561 1.0067814307969452 -0.32801070283429595 0.33245632271631137 2.4786315593534645 -0.16175753053472497 0.019984057032119983 0.4139489339640212 0.02354168330344164 -0.16107540671618284 -0.28529816007492903 | -0.6728502665525058 0.11756131906706507 1.0074229028363488 -0.3446575254705847 0.3778068540917286 2.478372663742385 -0.3135954370722555 0.018839559227500705 0.5805069279459865 0.16465390684936576 -0.3233285069954273 -0.5916485186837718 | 2070.5621440797845 | 89
1 23 | 0.22277952055445518 -1.3410815977402688 0.7681180772345562 -0.772318582969376 0.33459002821842493 0.777460575722848 0.02767691653972639 0.10049897067679561 0.09396196921676013 0.07700207460332285 -0.00766537765783641 0.02143199600692641 | 0.23134423588073327 -1.3453552672961382 0.7567301750711061 -0.7137809759439431 0.4352193195257244 0.8218072177549056 0.03701348435439338 -0.4601505517921578 0.26175720902447736 -0.22545201936719794 -0.02771364749167002 -0.2173075527382613 | 315663.461767113 | 71
1 24 | 0.04229409399772178 -0.12441119457852841 -0.2384751802246224 1.7338719581434214 -1.1854936646484542 -1.223551931092185 0.13103083027699183 -0.22012585796213552 0.21859140225961435 -0.2605976082232257 -0.33684987227974106 -0.015111375011613151 | 0.032938569600075775 -0.12800824872032934 -0.22622279288269787 1.7339368453773145 -1.1852764764933992 -1.223557436843333 0.16131353026084266 -0.4894703711208738 0.538858367948867 -0.41394370944559244 -0.46318662180208264 0.3130476835581774 | 156.24010785905512 | 999
1 25 | 0.16525161589815007 0.06256388241702941 -0.10458959293326332 0.07469201560319406 0.35135739562019186 -0.0005542654551502343 -0.27439142130941396 0.07572602940153193 0.1054450513514219 -0.03159389234829904 -0.01830782746072489 -0.2399850230400517 | 0.1609464400653689 0.09763811692251212 -0.1625548266531147 0.0790882129237684 0.3494180150395703 0.0009087093020146245 -0.317734089191655 0.11384333279849261 0.15792430178375716 -0.050806101427573296 -0.35465173704013103 -0.2375790893335825 | 37.97068831321499 | 323
1 26 | -0.9959564910067248 1.1202473331869764 0.5794165646203584 0.008556636059430193 0.9278076396131792 1.1005863340129465 -0.128270919389313 -0.2091579268845836 0.26311772605732214 -0.2689272346590622 0.1514854173931601 -0.2776650103714735 | -0.9958320523955131 1.0998308866702642 0.5784851455205281 0.012133028547788888 0.9270944495310146 1.0764266714673032 -0.48765685581976215 -0.47846276835386653 0.3789968838175724 -0.2689205156314897 0.4399703348993417 -0.5722856699001104 | 52747.15939845641 | 75
1 27 | 0.059452185725836416 -0.42428581026434253 0.2755477745255538 0.8343776840575429 -0.8743989081963399 0.8356304860617488 0.29783673147570716 0.47766946331749327 -0.44829425984548094 -0.20032596251496176 -0.14575938201281868 -0.2213588092283908 | 0.04398088590445653 -0.4255722238699554 0.2751306987765696 0.8352520608761398 -0.8742295905644627 0.8359139133828583 0.2983254625668911 0.4914552523841959 -0.7413764621769074 -0.34927204540930135 -0.3233374678252927 -0.47493590162069077 | 117.43732903233719 | 99
1 28 | 0.6381512850413127 -0.5888181063243181 -0.15874407783951633 -0.16169467933103449 0.8429453645493155 -0.20650633189474185 -0.18000785583672585 -0.1405643443083065 -0.02548701673620145 0.25612068093174517 -0.10842368744561627 -0.027776037659628144 | 0.6705464679185654 -0.6375631628188433 -0.15886202975896702 -0.1628042620009997 0.5068344534659115 -0.2089348737845363 -0.23178775374286137 -0.23209527538492003 -0.025510588453631723 0.2567559231471982 0.13770383600480768 -0.030167231643742312 | 596049.2031386067 | 59
1 29 | 0.40984934146367824 -0.404190760519326 -0.5553966773408904 -0.9278616279251535 0.28877427079439916 0.09546104310789702 0.013954522619703124 -0.055336407106233054 -0.30164083484974763 -0.1435685295492263 -0.1958899681137182 -0.10851562515100652 | 0.40981451045005257 -0.40714906688942915 -0.555004577034949 -0.9275211578295017 0.2866963065646855 0.10001172285566982 0.5747950893139241 -0.3734555907068257 -0.4825532718334925 -0.2805621999756999 -0.3602424782991209 -0.1946512340169448 | 210.3243312812205 | 379
1 30 | 1.4947295756235783 -0.001600825882810111 0.2600956700734047 0.2038076218227041 0.4871044849736252 -0.4115461234026677 -0.14773296199289157 -0.205070009914834 0.127834674525948 -0.058365796243367754 -0.04525312001523717 -0.07441225653341714 | 1.4947494969409436 0.005361661997594535 0.37493029935854455 0.27499286636153786 0.5459215688960944 -0.08748232390231538 0.42270700544284084 -0.2045665801418677 0.25798102912344906 -0.17083434294474184 -0.3540381622382233 0.06958328470696235 | 12520.758404395523 | 77
1 31 | -0.06754550959666264 -0.21784242941887916 0.003885268364106748 1.124334663091908 -0.25658286820248344 0.30366214283866033 0.14165996570123526 0.3372985452728189 0.2009994776092235 0.1945753350398782 0.14062273063272385 0.31509598372263536 | -0.08997917980063798 -0.21169493069053738 0.0059159350862924825 1.1243226704844302 -0.2981602016371862 0.30075370451794226 0.15026591540426867 0.46401984663354046 0.20101092256555783 0.23899617591944314 0.25217146208690705 0.6644890528951676 | 592.3377708306822 | 97
1 32 | 0.8975820407546377 -0.10349009483868706 -0.057536314997745495 0.27858767247643795 0.2723132269928886 -1.3420042708544195 0.38162433829299214 0.07117217019247478 -0.005351619291482208 0.19375826474698252 -0.2370658371398861 -0.12154061894952656 | 0.8974663007763983 -0.1677733931185455 -0.07264427206629802 0.28163758033507597 0.2653421378592939 -1.34133754063441 0.6319978544437368 0.15708049156714382 -0.0122783650489935 0.4901749432643293 -0.4676997447913306 0.4831072104055286 | 170.06379552650478 | 91
